,部分,考试类型,三元组
110,高考学考,秋考,"(非本市户籍考生，持《上海市海外人才居住证》留学人员的子女中的应届毕业生,2024年在沪报考普通高校条件,本市高中阶段学校毕业；)"
111,高考学考,秋考,"(非本市户籍考生，持《上海市海外人才居住证》留学人员的子女中的应届毕业生,2024年在沪报考普通高校条件有关证明,无；)"
112,高考学考,秋考,"(非本市户籍考生，持《上海市海外人才居住证》留学人员的子女中的应届毕业生,2024年在沪报考普通高校条件备注,)"
113,高考学考,秋考,"(非本市户籍考生，持《上海市海外人才居住证》留学人员的子女中的往届毕业生,2024年在沪报考普通高校条件,本市高中阶段学校毕业；)"
114,高考学考,秋考,"(非本市户籍考生，持《上海市海外人才居住证》留学人员的子女中的往届毕业生,2024年在沪报考普通高校条件有关证明,无；)"
115,高考学考,秋考,"(非本市户籍考生，持《上海市海外人才居住证》留学人员的子女中的往届毕业生,2024年在沪报考普通高校条件备注,)"
116,高考学考,秋考,"(非本市户籍考生，持有效《具有本市户籍留学人员其持外国护照子女享受优惠政策证明》的留学人员其持外国护照子女中的应届毕业生,2024年在沪报考普通高校条件,参加本市中招且具有本市高中阶段完整学习经历；)"
117,高考学考,秋考,"(非本市户籍考生，持有效《具有本市户籍留学人员其持外国护照子女享受优惠政策证明》的留学人员其持外国护照子女中的应届毕业生,2024年在沪报考普通高校条件有关证明,市人力资源社会保障局出具的《具有本市户籍留学人员其持外国护照子女享受优惠政策证明》；)"
118,高考学考,秋考,"(非本市户籍考生，持有效《具有本市户籍留学人员其持外国护照子女享受优惠政策证明》的留学人员其持外国护照子女中的应届毕业生,2024年在沪报考普通高校条件备注,)"
119,高考学考,秋考,"(非本市户籍考生，持有效《具有本市户籍留学人员其持外国护照子女享受优惠政策证明》的留学人员其持外国护照子女中的往届毕业生,2024年在沪报考普通高校条件,2023年列入本市高考报名库；)"
120,高考学考,秋考,"(非本市户籍考生，持有效《具有本市户籍留学人员其持外国护照子女享受优惠政策证明》的留学人员其持外国护照子女中的往届毕业生,2024年在沪报考普通高校条件有关证明,市人力资源社会保障局出具的《具有本市户籍留学人员其持外国护照子女享受优惠政策证明》；)"
121,高考学考,秋考,"(非本市户籍考生，持有效《具有本市户籍留学人员其持外国护照子女享受优惠政策证明》的留学人员其持外国护照子女中的往届毕业生,2024年在沪报考普通高校条件备注,)"
122,高考学考,秋考,"(非本市户籍考生，父母双方或一方现属上海市常住户籍中的应届毕业生,2024年在沪报考普通高校条件,参加本市中招且具有本市高中阶段完整学习经历；)"
123,高考学考,秋考,"(非本市户籍考生，父母双方或一方现属上海市常住户籍中的应届毕业生,2024年在沪报考普通高校条件有关证明,父母一方现属本市户口的户籍证明，本人《上海市居住证》；)"
124,高考学考,秋考,"(非本市户籍考生，父母双方或一方现属上海市常住户籍中的应届毕业生,2024年在沪报考普通高校条件备注,)"
125,高考学考,秋考,"(非本市户籍考生，父母双方或一方现属上海市常住户籍中的往届毕业生,2024年在沪报考普通高校条件,2023年列入本市高考报名库；)"
126,高考学考,秋考,"(非本市户籍考生，父母双方或一方现属上海市常住户籍中的往届毕业生,2024年在沪报考普通高校条件有关证明,父母一方现属本市户口的户籍证明，本人《上海市居住证》；)"
127,高考学考,秋考,"(非本市户籍考生，父母双方或一方现属上海市常住户籍中的往届毕业生,2024年在沪报考普通高校条件备注,)"
128,高考学考,秋考,"(非本市户籍考生，父母双方或一方是经上海市人民政府合作交流办公室认定的驻沪机构工作人员中的应届毕业生,2024年在沪报考普通高校条件,参加本市中招且具有本市高中阶段完整学习经历；)"
129,高考学考,秋考,"(非本市户籍考生，父母双方或一方是经上海市人民政府合作交流办公室认定的驻沪机构工作人员中的应届毕业生,2024年在沪报考普通高校条件有关证明,无；)"
130,高考学考,秋考,"(非本市户籍考生，父母双方或一方是经上海市人民政府合作交流办公室认定的驻沪机构工作人员中的应届毕业生,2024年在沪报考普通高校条件备注,)"
131,高考学考,秋考,"(非本市户籍考生，父母双方或一方是经上海市人民政府合作交流办公室认定的驻沪机构工作人员中的往届毕业生,2024年在沪报考普通高校条件,2023年列入本市高考报名库；)"
132,高考学考,秋考,"(非本市户籍考生，父母双方或一方是经上海市人民政府合作交流办公室认定的驻沪机构工作人员中的往届毕业生,2024年在沪报考普通高校条件有关证明,无；)"
133,高考学考,秋考,"(非本市户籍考生，父母双方或一方是经上海市人民政府合作交流办公室认定的驻沪机构工作人员中的往届毕业生,2024年在沪报考普通高校条件备注,)"
134,高考学考,秋考,"(非本市户籍考生，在沪台湾同胞，香港、澳门特别行政区永久居民中的应届毕业生,2024年在沪报考普通高校条件,本市高中阶段学校毕业；)"
135,高考学考,秋考,"(非本市户籍考生，在沪台湾同胞，香港、澳门特别行政区永久居民中的应届毕业生,2024年在沪报考普通高校条件有关证明,台湾：《台湾居民来往大陆通行证》（台胞证）；香港、澳门：永久性居民身份证和《港澳居民来往内地通行证》；)"
136,高考学考,秋考,"(非本市户籍考生，在沪台湾同胞，香港、澳门特别行政区永久居民中的应届毕业生,2024年在沪报考普通高校条件备注,)"
137,高考学考,秋考,"(非本市户籍考生，在沪台湾同胞，香港、澳门特别行政区永久居民中的往届毕业生,2024年在沪报考普通高校条件,本市高中阶段学校毕业；)"
138,高考学考,秋考,"(非本市户籍考生，在沪台湾同胞，香港、澳门特别行政区永久居民中的往届毕业生,2024年在沪报考普通高校条件有关证明,台湾：《台湾居民来往大陆通行证》（台胞证）；香港、澳门：永久性居民身份证和《港澳居民来往内地通行证》；)"
139,高考学考,秋考,"(非本市户籍考生，在沪台湾同胞，香港、澳门特别行政区永久居民中的往届毕业生,2024年在沪报考普通高校条件备注,)"
140,高考学考,秋考,"(非本市户籍考生，在沪定居并持有签发地为上海的《中华人民共和国外国人永久居留身份证》的外国人中的应届毕业生,2024年在沪报考普通高校条件,高中阶段学校毕业；)"
141,高考学考,秋考,"(非本市户籍考生，在沪定居并持有签发地为上海的《中华人民共和国外国人永久居留身份证》的外国人中的应届毕业生,2024年在沪报考普通高校条件有关证明,签发地为上海的《中华人民共和国外国人永久居留身份证》；)"
142,高考学考,秋考,"(非本市户籍考生，在沪定居并持有签发地为上海的《中华人民共和国外国人永久居留身份证》的外国人中的应届毕业生,2024年在沪报考普通高校条件备注,)"
143,高考学考,秋考,"(非本市户籍考生，在沪定居并持有签发地为上海的《中华人民共和国外国人永久居留身份证》的外国人中的往届毕业生,2024年在沪报考普通高校条件,高中阶段学校毕业；)"
144,高考学考,秋考,"(非本市户籍考生，在沪定居并持有签发地为上海的《中华人民共和国外国人永久居留身份证》的外国人中的往届毕业生,2024年在沪报考普通高校条件有关证明,签发地为上海的《中华人民共和国外国人永久居留身份证》；)"
145,高考学考,秋考,"(非本市户籍考生，在沪定居并持有签发地为上海的《中华人民共和国外国人永久居留身份证》的外国人中的往届毕业生,2024年在沪报考普通高校条件备注,)"
146,高考学考,秋考,"(非本市户籍考生，父母双方或一方是本市博士后科研流动站或工作站在站人员中的应届毕业生,2024年在沪报考普通高校条件,高中阶段学校毕业；)"
147,高考学考,秋考,"(非本市户籍考生，父母双方或一方是本市博士后科研流动站或工作站在站人员中的应届毕业生,2024年在沪报考普通高校条件有关证明,市人力资源社会保障局证明；)"
148,高考学考,秋考,"(非本市户籍考生，父母双方或一方是本市博士后科研流动站或工作站在站人员中的应届毕业生,2024年在沪报考普通高校条件备注,)"
149,高考学考,秋考,"(非本市户籍考生，父母双方或一方是本市博士后科研流动站或工作站在站人员中的往届毕业生,2024年在沪报考普通高校条件,高中阶段学校毕业；)"
150,高考学考,秋考,"(非本市户籍考生，父母双方或一方是本市博士后科研流动站或工作站在站人员中的往届毕业生,2024年在沪报考普通高校条件有关证明,市人力资源社会保障局证明；)"
151,高考学考,秋考,"(非本市户籍考生，父母双方或一方是本市博士后科研流动站或工作站在站人员中的往届毕业生,2024年在沪报考普通高校条件备注,)"
152,高考学考,秋考,"(非本市户籍考生，梅山、大屯、鲁矿三地上海后方基地单位职工子女中的应届毕业生,2024年在沪报考普通高校条件,参加本市中招且具有本市高中阶段完整学习经历；)"
153,高考学考,秋考,"(非本市户籍考生，梅山、大屯、鲁矿三地上海后方基地单位职工子女中的应届毕业生,2024年在沪报考普通高校条件有关证明,无；)"
154,高考学考,秋考,"(非本市户籍考生，梅山、大屯、鲁矿三地上海后方基地单位职工子女中的应届毕业生,2024年在沪报考普通高校条件备注,)"
155,高考学考,秋考,"(非本市户籍考生，梅山、大屯、鲁矿三地上海后方基地单位职工子女中的往届毕业生,2024年在沪报考普通高校条件,参加本市中招且具有本市高中阶段完整学习经历；)"
156,高考学考,秋考,"(非本市户籍考生，梅山、大屯、鲁矿三地上海后方基地单位职工子女中的往届毕业生,2024年在沪报考普通高校条件有关证明,无；)"
157,高考学考,秋考,"(非本市户籍考生，梅山、大屯、鲁矿三地上海后方基地单位职工子女中的往届毕业生,2024年在沪报考普通高校条件备注,)"
158,高考学考,秋考,"(非本市户籍往届考生, 父母一方或双方现属, 上海市常住户籍)"
159,高考学考,秋考,"(非本市户籍往届考生, 参加, 本市中招)"
160,高考学考,秋考,"(非本市户籍往届考生, 具有, 本市高中阶段完整学习经历)"
161,高考学考,秋考,"(非本市户籍往届考生, 未前往报到, 录取院校)"
162,高考学考,秋考,"(非本市户籍往届考生, 未被列入, 2023年高考报名库)"
163,高考学考,秋考,"(父母一方现属上海市常住户籍的非本市户籍往届考生, 需持有, 上海市居住证)"
164,高考学考,秋考,"(非本市户籍往届考生, 必须属于, 2023年已列入本市高考报名库的往届毕业生)"
165,高考学考,秋考,"(上海后方基地单位职工子女, 需符合条件, 市教委锁定名单)"
166,高考学考,秋考,"(纳入市教委锁定名单的上海后方基地单位职工子女, 须参加, 本市中招)"
167,高考学考,秋考,"(上海后方基地单位职工子女, 需毕业于, 本市高中阶段学校)"
168,高考学考,秋考,"(上海后方基地单位职工子女, 符合条件可参加, 上海的高考)"
169,高考学考,秋考,"(普通高校联合招收华侨港澳台考试, 非, 上海秋考)"
170,高考学考,秋考,"(广东省考试院, 专线电话, 020-62833628)"
171,高考学考,秋考,"(上海, 设立, 华侨港澳台联考考点)"
172,高考学考,秋考,"(华侨港澳台考生, 参加, 普通高校联合招收华侨港澳台考试)"
173,高考学考,秋考,"(香港考生, 参加, 普通高校联合招收华侨港澳台考试)"
174,高考学考,秋考,"(澳门华侨考生, 参加, 普通高校联合招收华侨港澳台考试)"
175,高考学考,秋考,"(华侨港澳台考生, 参加, 普通高校联合招收华侨港澳台考试)"
176,高考学考,秋考,"(华侨港澳台学生高考考卷, 属于, 普通高校联合招收华侨港澳台考试)"
177,高考学考,秋考,"(本市应届高中毕业生, 可报考, 春季考试)"
178,高考学考,秋考,"(本市应届高中毕业生, 可报考, 1月份外语科目考试)"
179,高考学考,秋考,"(本市应届高中毕业生, 可报考, 专科自主招生考试)"
180,高考学考,秋考,"(本市应届高中毕业生, 可报考, 秋季统一高考)"
181,高考学考,秋考,"(秋季统一高考, 包含, 艺术类统考)"
182,高考学考,秋考,"(秋季统一高考, 包含, 体育类专业统考)"
183,高考学考,秋考,"(符合报名条件的往届高中阶段学校毕业生, 可报考, 春季考试)"
184,高考学考,秋考,"(符合报名条件的往届高中阶段学校毕业生, 可报考, 1月份外语科目考试)"
185,高考学考,秋考,"(符合报名条件的往届高中阶段学校毕业生, 可报考, 专科自主招生考试)"
186,高考学考,秋考,"(符合报名条件的往届高中阶段学校毕业生, 可报考, 秋季统一高考)"
187,高考学考,秋考,"(秋季统一高考, 包含, 艺术类统考)"
188,高考学考,秋考,"(秋季统一高考, 包含, 体育类专业统考)"
189,高考学考,秋考,"(考生, 户籍地, 上海)"
190,高考学考,秋考,"(考生, 符合条件, 符合报名条件但非本市学籍应届高中阶段毕业生)"
191,高考学考,秋考,"(符合报名条件但非本市学籍应届高中阶段毕业生, 可报考, 春季考试)"
192,高考学考,秋考,"(符合报名条件但非本市学籍应届高中阶段毕业生, 可报考, 1月份外语科目考试)"
193,高考学考,秋考,"(符合报名条件但非本市学籍应届高中阶段毕业生, 可报考, 专科自主招生考试)"
194,高考学考,秋考,"(符合报名条件但非本市学籍应届高中阶段毕业生, 可报考, 秋季统一高考)"
195,高考学考,秋考,"(秋季统一高考, 包含, 艺体类专业统考)"
196,高考学考,秋考,"(本市应届毕业三校生, 可以报考, 专科自主招生考试)"
197,高考学考,秋考,"(本市应届毕业三校生, 可选择报考, 秋季统一高考)"
198,高考学考,秋考,"(本市应届毕业三校生, 可选项包含, 三校生高考)"
199,高考学考,秋考,"(秋季统一高考, 包含, 1月份外语科目考试)"
200,高考学考,秋考,"(艺体类专业统考, 前提条件, 秋季统一高考)"
201,高考学考,秋考,"(三校生高考, 不可选择, 艺体类专业统考)"
202,高考学考,秋考,"(考生家长, 积分未达到, 标准分值)"
203,高考学考,秋考,"(考生家长, 持有, 积分未达标准分值的上海市居住证)"
204,高考学考,秋考,"(同住子女, 需参加, 全日制普通中等职业学校自主招生考试)"
205,高考学考,秋考,"(同住子女, 完成, 全日制中等职业教育)"
206,高考学考,秋考,"(持有未达标上海市居住证同住子女的应届毕业生, 可参加, 3月专科层次依法自主招生考试)"
207,高考学考,秋考,"(应届毕业生, 可参加, 5月招收中等职业学校应届毕业生考试的专科层次录取)"
208,高考学考,秋考,"(往届毕业生, 可参加, 3月专科层次依法自主招生考试)"
209,高考学考,秋考,"(长三角示范区职教一体化, 招收, 嘉善学生)"
210,高考学考,秋考,"(吴江学生, 就读于, 上海市中等职业学校)"
211,高考学考,秋考,"(5月招收中等职业学校应届毕业生考试, 录取层次, 专科层次)"
212,高考学考,秋考,"(三校生高考, 报考条件, 本市应届毕业三校生)"
213,高考学考,秋考,"(考生, 是, 高中应届毕业生)"
214,高考学考,秋考,"(本市新疆中职班应届毕业生, 不可报考, 本科院校秋考)"
215,高考学考,秋考,"(秋考, 属于, 高考学考)"
216,高考学考,秋考,"(高考学考, 可兼报, 秋考)"
217,高考学考,秋考,"(秋考, 包含, 报名篇)"
218,高考学考,秋考,"(各类考试项目兼报一览表, 包含于, 附件高考报名相关图表)"
219,高考学考,秋考,"(本市户籍考生, 需满足, 初中学历满三年及以上)"
220,高考学考,秋考,"(初中学历, 需满足年限, 三年及以上)"
221,高考学考,秋考,"(本市户籍考生, 需联系, 户口所在区招考机构)"
222,高考学考,秋考,"(区考试招生机构, 审核, 材料)"
223,高考学考,秋考,"(本市学籍应届高中阶段毕业生, 信息转入自, 学籍库信息)"
224,高考学考,秋考,"(中职校应届毕业生, 信息转入自, 学籍库信息)"
225,高考学考,秋考,"(报名操作界面, 包含, 上海市高考网上报名系统)"
226,高考学考,秋考,"(报名操作界面, 包含, 报名首页)"
227,高考学考,秋考,"(报名操作界面, 包含, 考生须知)"
228,高考学考,秋考,"(报名操作界面, 包含, 填写基本信息)"
229,高考学考,秋考,"(报名操作界面, 包含, 填写院校志愿)"
230,高考学考,秋考,"(报名操作界面, 包含, 填写考试志愿)"
231,高考学考,秋考,"(报名操作界面, 包含, 信息确认)"
232,高考学考,秋考,"(报名操作界面, 包含, 网上付费)"
233,高考学考,秋考,"(报名操作界面, 包含, 报名结束)"
234,高考学考,秋考,"(高中老师, 联系, 家长)"
235,高考学考,秋考,"(班主任, 联系, 学籍管理老师)"
236,高考学考,秋考,"(家长, 准备, 书面申请及身份证复印件等材料)"
237,高考学考,秋考,"(书面申请, 提交至, 学校)"
238,高考学考,秋考,"(学校, 提交盖章材料至, 区考试招生机构)"
239,高考学考,秋考,"(区考试招生机构, 报送, 教育考试院)"
240,高考学考,秋考,"(报名登录页面, 要求填写, 个人简历)"
241,高考学考,秋考,"(报名登录页面, 要求填写, 家庭成员至少填写一条信息)"
242,高考学考,秋考,"(个人简历, 开始于, 高中阶段)"
243,高考学考,秋考,"(个人简历, 最低填写要求, 至少填写一条)"
244,高考学考,秋考,"(家庭成员信息, 填写要求, 至少填写一条信息)"
245,高考学考,秋考,"(报名登录页面操作重点, 包含, 报名首页)"
246,高考学考,秋考,"(报名登录页面操作重点, 包含, 考生须知)"
247,高考学考,秋考,"(报名登录页面操作重点, 包含, 步骤导航条)"
248,高考学考,秋考,"(报名登录页面操作重点, 包含, 填写基本信息)"
249,高考学考,秋考,"(报名登录页面操作重点, 包含, 填写个人履历)"
250,高考学考,秋考,"(报名登录页面操作重点, 包含, 填写报考选项)"
251,高考学考,秋考,"(报名登录页面操作重点, 包含, 信息浏览)"
252,高考学考,秋考,"(报名登录页面操作重点, 包含, 报名确认)"
253,高考学考,秋考,"(报名登录页面操作重点, 包含, 网上缴费)"
254,高考学考,秋考,"(报名登录页面操作重点, 包含, 报名结束)"
255,高考学考,秋考,"(报名登录页面操作重点, 包含, 个人简历)"
256,高考学考,秋考,"(报名登录页面操作重点, 包含, 家庭主要成员)"
257,高考学考,秋考,"(报名登录页面操作重点, 包含, 操作按钮)"
258,高考学考,秋考,"(春考, 允许单独报考, 外语)"
259,高考学考,秋考,"(1月份外语科目考试, 属于, 春考)"
