,问题,来源,mc,问答对
58,本市往届生申请2024年上海高校需满足哪些基本要求和材料？,19,"Option A: 高中毕业或同等学历，并提供身份证、户籍证明和毕业证书  
Option B: 仅需提供身份证和毕业证书  
Option C: 高中毕业即可，无需其他材料  
Option D: 需要参加入学考试并通过  
Answer: A",答案：A
59,上海户籍的往届高中毕业生在2024年报考普通高校需具备哪些条件及文件？,19,"Option A: 高中阶段学校毕业或同等学历，身份证和户籍证明  
Option B: 高中阶段学校毕业或同等学历，身份证和毕业证书  
Option C: 高中阶段学校毕业或同等学历，户籍证明、毕业证书及年龄证明  
Option D: 高中阶段学校毕业或同等学历，身份证、户籍证明和毕业证书  
Answer: D",D
60,2024年非本市高中毕业的应届生在上海报考高校需提供哪些证明材料？,20,"Option A: 身份证、户籍证明  
Option B: 身份证、户籍证明、学籍所在学校证明  
Option C: 身份证、户籍证明、毕业证书  
Option D: 学籍证明、成绩单、户口本  
Answer: B",B
61,本市户籍考生报考2024年上海普通高校的学历资格要求是什么？,20,"Option A: 高中阶段学校应届毕业  
Option B: 大学本科毕业  
Option C: 高中阶段学校毕业或具有同等学历  
Option D: 无学历要求  
Answer: C",C
62,应届非本市高中毕业生在2024年申请上海高校需满足哪些条件和提交什么文件？,20,"Option A: 高中阶段学校毕业或具有同等学历，需提交身份证、户籍证明和学籍所在学校证明  
Option B: 高中阶段学校毕业即可，需提交身份证和学籍所在学校证明  
Option C: 具有同等学历即可，需提交户籍证明和学籍所在学校证明  
Option D: 高中阶段学校毕业或具有同等学历，需提交身份证和居住证  
Answer: A",A
63,非本市户籍的往届毕业生报考2024年上海普通高校需要哪些证明材料？,21,"Option A: 身份证和毕业证书  
Option B: 身份证、户籍证明和成绩单  
Option C: 身份证、户籍证明和毕业证书  
Option D: 毕业证书、推荐信和学历证明  
Answer: C",C
64,2024年非本市高中毕业的往届生申请上海高校需满足什么学历要求和材料？,21,"Option A: 高中毕业，身份证和毕业证书  
Option B: 高中毕业或同等学历，身份证、户籍证明和毕业证书  
Option C: 高中毕业，户籍证明和毕业证书  
Option D: 本科毕业，身份证和户籍证明  
Answer: B",B
65,上海户籍以外的往届高中毕业生，2024年在沪报考高校需提供什么证件？,21,"Option A: 身份证和毕业证书  
Option B: 身份证、户口本和毕业证书  
Option C: 学籍证明、户籍证明和毕业证书  
Option D: 身份证、户籍证明和毕业证书  
Answer: D",D
66,驻外使领馆随任子女中的应届毕业生2024年在沪报考普通高校需提交哪些证明材料？,22,"Option A: 驻外使领馆回国证明、国外学校证明原件
Option B: 身份证复印件、国外学校成绩单
Option C: 驻外使领馆回国证明、户口登记卡
Option D: 驻外使领馆回国证明（加盖印章）、国外学校证明译文、户口登记卡
Answer: D",D
67,2024年本市户籍考生报考上海高校的学历条件是什么？,22,"Option A: 初中阶段学校毕业  
Option B: 高中阶段学校毕业或具有同等学历  
Option C: 本科院校毕业  
Option D: 无学历要求  
Answer: B",B
68,驻外人员子女作为应届生在上海参加高考需满足哪些要求和提供哪些文件？,22,"Option A: 高中毕业学历，驻外使领馆回国证明，国外学校证明原件  
Option B: 高中阶段毕业或同等学历，驻外使领馆盖章的回国证明，国外学校证明译文版，户口登记卡  
Option C: 普通高中毕业证书，父母工作证明，体检报告  
Option D: 初中毕业证书，驻外使领馆证明，学生档案记录  
Answer: B",答案：B
69,2024年驻外使领馆工作人员随任子女往届生报考上海高校需提供哪些证明材料？,23,"Option A: 上海市居住证和考生身份证  
Option B: 上海市居住证、户口本、积分通知单  
Option C: 上海市居住证、积分通知单、持证人与考生身份证  
Option D: 亲属关系证明及学历证书  
Answer: C",C
70,本市户籍往届毕业生报考2024年上海高校需满足哪些学历条件？,23,"Option A: 高中阶段学校毕业或具有同等学历  
Option B: 大学本科毕业  
Option C: 初中毕业  
Option D: 不需要学历要求  
Answer: A",A
71,驻外使领馆随任子女中的往届生2024年在沪高考需要什么证件和资格？,23,"Option A: 高中毕业学历，持证人身份证，考生身份证，上海市居住证  
Option B: 高中毕业或同等学历，上海市居住证及积分通知单，持证人和考生的身份证  
Option C: 同等学历证明，考生身份证，上海市居住证  
Option D: 高中毕业证，户口本，积分通知单  
Answer: B",B
72,"2024年非沪籍应届生在沪高考需提供哪些材料？（触发答案中""有关证明""部分）",24,"Option A: 持证人上海市居住证及积分通知单
Option B: 持证人上海市居住证及积分通知单，持证人与考生的身份证
Option C: 父母户口本及考生学籍证明
Option D: 考生身份证及本市社保缴纳记录
Answer: B",B
73,"父母持有上海居住证多久才能让非本地高中应届生子女在沪高考？（对应答案中""父母一方连续持有3年""条件）",24,"Option A: 1年  
Option B: 3年  
Option C: 2年  
Option D: 5年  
Answer: B",B
74,"非本市高中毕业的应届生报考上海高校是否需要本地就读经历？（指向答案中""本市高中阶段学校毕业""核心要求）",24,"Option A: 需要  
Option B: 不需要  
Option C: 视父母居住证情况而定  
Option D: 由学校自主决定  
Answer: A",B
75,2024年非上海户籍的往届高中毕业生在沪高考需提供哪些证明材料？,25,"Option A: 持证人上海市居住证及积分通知单，身份证  
Option B: 上海市居住证及积分通知单，持证人与考生身份证，毕业证书  
Option C: 考生户口簿，父母社保记录，毕业证书  
Option D: 积分通知单，考生身份证，学籍证明  
Answer: B",B
76,父母一方持有上海居住证需满多少年，其外地高中毕业的子女才符合2024年上海高考报名条件？,25,"Option A: 1年  
Option B: 3年  
Option C: 5年  
Option D: 不需要年限  
Answer: B",B
77,外地高中毕业的往届生，若父母持上海居住证积分达标，需满足哪些要求才能在沪报考2024年普通高校？,25,"Option A: 本市高中毕业且父母一方持有居住证满3年  
Option B: 外地高中毕业且父母持有居住证满3年  
Option C: 本市高中毕业或父母持有居住证满3年  
Option D: 参加本市中招即可  
Answer: A",答案：A
78,持《上海市海外人才居住证》的留学人员子女，若非本市户籍且为应届毕业生，2024年在上海高考需满足哪些学历条件？,26,"Option A: 本市高中阶段学校毕业  
Option B: 不需要学历条件  
Option C: 外省高中阶段学校毕业  
Option D: 国外高中阶段学校毕业  
Answer: A",A
79,非沪籍考生凭父母的上海海外人才居住证报考2024年本地高校时，是否需要提交特殊证明材料？,26,"Option A: 不需要  
Option B: 需要  
Option C: 视具体情况而定  
Option D: 不确定  
Answer: A",A
80,2024年非本市户籍的海外人才居住证持有人子女，应届毕业报考上海高校的主要资格要求是什么？,26,"Option A: 本市高中阶段学校毕业  
Option B: 需要具有上海市户籍  
Option C: 需提供《上海市海外人才居住证》  
Option D: 需提交额外教育证明材料  
Answer: A",A
81,非本地户籍的海外人才居住证持有者子女往届生报考2024上海高校需要什么学历条件？,27,"Option A: 外省高中阶段学校毕业  
Option B: 不需要学历条件  
Option C: 本市高中阶段学校毕业  
Option D: 本科毕业  
Answer: C",C
82,持上海海外人才居住证的留学人员往届毕业生子女报考高校需提交哪些额外材料？,27,"Option A: 无  
Option B: 户籍证明  
Option C: 学历证书  
Option D: 父母工作证明  
Answer: A",答案：A
83,非沪籍考生凭海外人才居住证报考2024年上海普通高校是否需要其他证明材料？,27,"Option A: 不需要  
Option B: 需要  
Option C: 视情况而定  
Option D: 不确定  
Answer: A",A
84,2024年非本市户籍的留学人员外籍子女应届生，在沪报考高校需满足哪些学习经历和证明材料？,28,"Option A: 参加本市中招并具有本市高中阶段完整学习经历，需提供《优惠政策证明》
Option B: 参加本市中招即可，无需完整学习经历
Option C: 具有完整高中学习经历，需提供户口本
Option D: 提供《优惠政策证明》即可免除学习经历要求
Answer: A",答案：A
85,持《优惠政策证明》的非本市户籍外籍考生，2024年在上海申请高校需具备什么条件？,28,"Option A: 参加本市中招考试即可  
Option B: 具有本市高中阶段完整学习经历即可  
Option C: 参加本市中招考试并具有本市高中阶段完整学习经历  
Option D: 需父母在上海工作满三年  
Answer: C",答案：C
86,留学人员的外籍子女若想以应届生身份报考2024年上海高校，需提供哪些证明并符合何种学习要求？,28,"Option A: 具有本市高中阶段完整学习经历，并持有父母工作证明  
Option B: 参加本市中招且具有本市高中阶段完整学习经历，并持有市人社局出具的《优惠政策证明》  
Option C: 持有教育部出具的留学人员证明，并完成高中学业  
Option D: 需同时提供户口本和市教委批准的学习经历证明  
Answer: B",答案：B
87,2024年在上海报考高校的非本市户籍留学人员外籍往届毕业生，需满足哪些条件？,29,"Option A: 只需2023年列入本市高考报名库  
Option B: 只需持有市人社局出具的《优惠政策证明》  
Option C: 同时满足2023年列入本市高考报名库并持有《优惠政策证明》  
Option D: 需额外提供户籍迁移证明  
Answer: C",C
88,持《具有本市户籍留学人员其持外国护照子女享受优惠政策证明》的往届生，2024年在沪高考需符合什么要求？,29,"Option A: 2023年已列入本市高考报名库  
Option B: 2024年列入本市高考报名库  
Option C: 具有本市户籍  
Option D: 需提供父母社保缴纳记录  
Answer: A",答案：A
89,留学人员的外籍子女往届毕业生若要在2024年报考上海普通高校，需要哪些资格和材料？,29,"Option A: 2023年列入本市高考报名库，并持市人力资源社会保障局出具的《具有本市户籍留学人员其持外国护照子女享受优惠政策证明》
Option B: 仅需2023年列入本市高考报名库
Option C: 仅需市人力资源社会保障局出具的《具有本市户籍留学人员其持外国护照子女享受优惠政策证明》
Option D: 需要本市户籍证明及高中毕业证书
Answer: A",A
90,2024年在上海高考的非本地户籍应届生，若父母中有一方是上海户籍，需满足哪些条件？,30,"Option A: 参加本市中招并具有完整高中学习经历，且提供父母户籍证明  
Option B: 参加本市中招且具有完整高中学习经历，提供父母户籍证明及本人居住证  
Option C: 在上海连续就读满3年，父母有上海社保缴纳记录  
Option D: 父母持有上海市居住证且积分达标，学生本人有学籍  
Answer: B",B
91,父母一方为上海户籍的非本市考生，2024年在沪报考普通高校需要提交哪些证明材料？,30,"Option A: 父母一方现属本市户口的户籍证明和本人《上海市居住证》  
Option B: 父母双方现属本市户口的户籍证明  
Option C: 本人户籍证明和父母工作证明  
Option D: 高中阶段学习经历公证  
Answer: A",A
92,父母具有上海户籍的非沪籍应届毕业生，2024年在上海参加高考的资格要求是什么？,30,"Option A: 参加本市中招且具有本市高中阶段完整学习经历，并提供父母户籍证明和本人居住证  
Option B: 只需父母一方为上海户籍即可直接报考  
Option C: 需要父母双方均为上海户籍且本人持有居住证  
Option D: 在本市高中就读满两年即可报考  
Answer: A",A
93,2024年非上海户籍往届生，父母一方属本市户口，在沪高考需提供哪些证明材料？,31,"Option A: 父母一方的户籍证明和身份证
Option B: 父母一方的户籍证明和本人《上海市居住证》
Option C: 父母双方的户籍证明和居住证
Option D: 本人户口簿和学籍证明
Answer: B",B
94,父母有一方是上海户籍的非本市往届生，2024年在上海参加高考需要符合什么要求？,31,"Option A: 提供父母一方现属上海户籍的证明和本人《上海市居住证》
Option B: 2023年已列入本市高考报名库，提供父母一方现属上海户籍的证明和本人《上海市居住证》
Option C: 2023年已列入本市高考报名库且提供父母一方现属上海户籍的证明
Option D: 提供父母社保证明和本人上海学籍证明
Answer: B",B
95,非沪籍往届毕业生，父母现属上海户籍，2024年报考上海高校需要满足哪些条件？,31,"Option A: 2023年列入本市高考报名库，并提供父母一方现属本市户籍证明和本人《上海市居住证》  
Option B: 仅需父母一方现属本市户籍证明即可报考  
Option C: 2024年列入本市高考报名库并提供本人《上海市居住证》  
Option D: 父母双方均需提供本市户籍证明且考生持有居住证  
Answer: A",A
96,父母为驻沪机构工作人员的非上海户籍应届生，2024年报考上海高校需满足哪些学习经历条件？,32,"Option A: 参加本市中招且具有本市高中阶段完整学习经历  
Option B: 不需要任何学习经历要求  
Option C: 仅需参加上海高考即可  
Option D: 在本市高中阶段有部分学习经历  
Answer: A",答案：A
97,非本市户籍考生若父母一方是上海认定的驻沪机构人员，报考时是否需要提交额外证明？,32,"Option A: 不需要  
Option B: 需要  
Option C: 需要父母双方证明  
Option D: 视具体情况而定  
Answer: A",B
98,在上海完整读完高中的非户籍考生，父母为驻沪机构职工，报考2024年本地高校有什么要求？,32,"Option A: 参加本市中招且具有高中阶段完整学习经历，无需其他证明  
Option B: 仅需高中阶段完整学习经历，不要求参加本市中招  
Option C: 需额外提交父母驻沪机构工作证明  
Option D: 需具备本市户籍  
Answer: A",A
99,非上海户籍往届考生，父母为驻沪机构工作人员，2024年在沪高考需要提交哪些证明材料？,33,"Option A: 父母的工作证明  
Option B: 户籍证明  
Option C: 不需要提交证明材料  
Option D: 往届毕业证书  
Answer: C",C
100,父母一方属于上海市政府合作交流办认定的驻沪机构员工的往届生，2024年报考上海高校需满足什么资格？,33,"Option A: 需提供父母工作证明  
Option B: 2023年已在本市高考报名库  
Option C: 父母双方均为驻沪机构员工  
Option D: 需在2024年高考报名库中  
Answer: B",B
101,外省市户籍往届生，父母为驻沪机构工作人员，2024年在沪高考是否需要2023年的报名库记录？,33,"Option A: 不需要  
Option B: 需要  
Option C: 视情况而定  
Option D: 不确定  
Answer: B",B
102,"""2024年在沪高考，港澳台应届毕业生需要提供哪些身份证明材料？""",34,"Option A: 香港、澳门只需永久性居民身份证，台湾无需额外证明  
Option B: 台湾需身份证和台胞证，港澳只需通行证  
Option C: 台湾提供台胞证，港澳提供永久性居民身份证和通行证  
Option D: 三地均需居住证和学校在读证明  
Answer: C",C
103,"""台湾和港澳的应届生在上海报考普通高校需满足什么资格条件？""",34,"Option A: 必须具有本市高中阶段学校毕业学历，并持有台胞证或港澳永久身份证及通行证  
Option B: 只需具有本市高中阶段学校毕业学历  
Option C: 只需持有台胞证或港澳永久身份证及通行证  
Option D: 需同时具有户籍证明和本市高中毕业学历  
Answer: A",A
104,"""港澳台学生2024年在上海参加高考，需符合哪些要求并提交什么证件？""",34,"Option A: 本市高中毕业，台湾学生需身份证和台胞证，港澳学生需护照
Option B: 本市高中毕业，台湾学生需台胞证，港澳学生需永久身份证和通行证
Option C: 无需学历证明，港澳台学生凭通行证即可报考
Option D: 本市初中毕业，港澳台学生需提供在读证明
Answer: B",B
105,2024年港澳台往届非沪籍考生报考上海普通高校需满足哪些基本要求和材料？,35,"Option A: 本市高中阶段学校毕业，并提交对应的台湾居民来往大陆通行证或港澳永久性居民身份证及通行证  
Option B: 本市高中阶段学校毕业即可  
Option C: 需具有上海户籍并提交港澳台身份证件  
Option D: 需提交高考成绩单及港澳台居住证明  
Answer: A",A
106,台湾往届毕业生在上海报考高校时需提交哪些身份证明材料？,35,"Option A: 《台湾居民来往大陆通行证》（台胞证）
Option B: 香港永久性居民身份证和《港澳居民来往内地通行证》
Option C: 台湾居民身份证和护照
Option D: 港澳居民居住证
Answer: A",答案：A
107,港澳永久居民往届生2024年在上海申请普通高校需提供什么证件？,35,"Option A: 永久性居民身份证
Option B: 《港澳居民来往内地通行证》
Option C: 永久性居民身份证和《港澳居民来往内地通行证》
Option D: 《台湾居民来往大陆通行证》
Answer: C",C
108,2024年在上海报考高校的外国应届毕业生需满足哪些条件并提供何种证件？,36,"Option A: 高中毕业，提供任何形式的身份证件
Option B: 高中阶段学校毕业，提供签发地为上海的《中华人民共和国外国人永久居留身份证》
Option C: 无需高中毕业，只需提供《中华人民共和国外国人永久居留身份证》
Option D: 需要大学本科学历，提供上海市户籍证明
Answer: B",B
