文件名,类型,文本内容,部分
上海市教育委员会关于做好2024年本市高中阶段学校招生报名工作的通知 沪教委基〔2023〕41号.md,2024中招,"三、报名时间及方式
（三）补报名
符合本通知第一部分第（一）（二）（三）款规定的报名对象，如在统一报名时未能取得有效的证明材料，最迟应于2024年5月7日前持有效证明材料向区招考机构提出申请，经区招考机构核对并报市教育考试院后予以补报名。补报名时间为2024年5月6日-7日。参加补报名的学生从完成报名确认起，享受后续时间段内的本市中招相关政策。
具体日程安排见附件2。
",中考中招
上海市教育委员会关于做好2024年本市高中阶段学校招生报名工作的通知 沪教委基〔2023〕41号.md,2024中招,"附件：1.2024年上海市高中阶段学校招生报名条件一览表
2\.2024年上海市高中阶段学校招生报名日程表
上 海 市 教 育 委 员 会
2023年12月3日
—  1  — 
",中考中招
上海市教育委员会关于做好2024年本市高中阶段学校招生报名工作的通知 沪教委基〔2023〕41号.md,2024中招,"附件1             2024年上海市高中阶段学校招生报名条件一览表
<table><tr><th colspan=""2"">类型</th><th colspan=""1"">资格</th><th colspan=""1"">相关材料</th><th colspan=""1"">报考地</th><th colspan=""1"">备注</th></tr>
<tr><td colspan=""2"">本市常住户口学生</td><td colspan=""1"">应届初三学生或18周岁以下往届初中毕业生、结业生</td><td colspan=""1"">大数据中心在线核验（提供学生本人户口本复印件留档）</td><td colspan=""1"">学籍（原毕业）学校或户口所在区</td><td colspan=""1""></td></tr>
<tr><td colspan=""1"" rowspan=""8"">非本市户口学生</td><td colspan=""1"">学生父母一方持有效期内《上海市居住证》且积分达到标准分值</td><td colspan=""1"">应届初三学生或18周岁以下本市往届初中毕业生</td><td colspan=""1""><p>1\.学生父母一方《上海市居住证》和身份证、积分通知单；</p><p>2\.学生本人《上海市居住证》（或居住登记凭证）、户籍材料、出生材料等（必要时再提供其他亲子关系材料）；</p><p>3\.学生信息须在本市居住证积分管理系统中查询确认。</p></td><td colspan=""1"">学籍（原毕业）学校或学生持有的《上海市居住证》上登记地址所在区</td><td colspan=""1"" rowspan=""9"">今后如需参加本市普通高校考试招生报名、普通高校联合招收华侨港澳台学生报名以及高等学校接受国际学生报名的，按当年教育部和上海市教委相关政策执行。</td></tr>
<tr><td colspan=""1"">学生父母一方及学生本人持有效期内《上海市海外人才居住证》或学生属于市人保局认定的“本市户籍留学人员其持外国护照子女”</td><td colspan=""1"">本市应届初三学生或18周岁以下本市往届初中毕业生</td><td colspan=""1""><p>1\.学生父母一方及本人的身份证等材料；</p><p>2\.学生父母一方及本人《上海市海外人才居住证》或市人保局出具的《具有本市户籍留学人员其持外国护照子女享受优惠政策证明》等。</p></td><td colspan=""1"" rowspan=""2"">学籍（原毕业）学校所在区</td></tr>
<tr><td colspan=""1""><p>学生父母一方现属本市常住户口（其中现属本市常住户口为学生继父母或养父母的，须依法与学生建立抚养关系或收养关系连续满3年）</p><p></p></td><td colspan=""1"">本市应届初三学生或18周岁以下本市往届初中毕业生（往届生须取得2023年本市中招报名资格）</td><td colspan=""1""><p>1\.学生现属本市常住户口方父（或母）及学生本人户口证明和关系材料（必要时提供亲子关系材料），其中学生与本市现属常住户口父（或母）为继子女关系的，需提供学生父母结婚证（需在2021年8月31日之前）等婚姻关系材料。学生与本市现属常住户口父（或母）为养子女关系的，需提供学生本人合法的收养证（需在2021年8月31日之前）等收养关系材料；</p><p>2\.学生本人连续三年本市初中学籍；</p><p>3\.学生本人有效期内连续满3年《上海市居住证》（须在2021年8月31日之前办出），或者学生有效期内《上海市居住证》地址与现属本市常住户口父（或母）实际居住地址一致材料。</p></td></tr>
<tr><td colspan=""1"">学生父母一方为在沪高校、科研机构博士后流动站（工作站）人员</td><td colspan=""1"">应届初三学生或18周岁以下本市往届初中毕业生</td><td colspan=""1""><p>1\.学生户口本；</p><p>2\.上海市博士后工作办公室出具证明等。</p></td><td colspan=""1"">学籍（原毕业）学校或设站单位所在区</td></tr>
<tr><td colspan=""1"">学生父母一方为经市政府合作交流办公室审核登记的地级市以上(含地级市)政府驻沪办事机构有关工作人员</td><td colspan=""1"" rowspan=""4"">本市应届初三学生或18周岁以下本市往届初中毕业生</td><td colspan=""1"">市政府合作交流办和市教委共同核定名单等。</td><td colspan=""1"" rowspan=""4"">学籍（原毕业）学校所在区</td></tr>
<tr><td colspan=""1"">学生属在沪台胞，香港、澳门特别行政区永久居民</td><td colspan=""1""><p>在沪台胞（以下两类符合其一）：</p><p>1\.学生本人《中华人民共和国台湾居民居住证》；</p><p>2\.学生本人台湾居民来往大陆通行证及本市境外人员住宿登记。</p><p>香港、澳门特别行政区永久居民（以下两类符合其一）：</p><p>1\.学生本人《中华人民共和国港澳居民居住证》及香港或澳门特别行政区永久居民身份证；</p><p>2\.学生本人港澳居民来往大陆通行证、本市境外人员住宿登记表及香港或澳门特别行政区永久居民身份证。</p></td></tr>
<tr><td colspan=""1"">学生属经市政府侨办认定的本市华侨</td><td colspan=""1"">市政府侨办国内处证明等。</td></tr>
<tr><td colspan=""1"">学生为在沪定居并持《中华人民共和国外国人永久居留证》</td><td colspan=""1"">有效期内的《中华人民共和国外国人永久居留证》等。</td></tr>
<tr><td colspan=""1""><p>外籍</p><p>学生</p></td><td colspan=""1"">学生持有效签证的外国护照</td><td colspan=""1"">本市应届初三学生或18周岁以下本市往届初中毕业生</td><td colspan=""1"">学生本人的有效签证外国护照（须有中华人民共和国外国人居留许可页）和境外人员住宿登记表等（必要时提供户口注销材料）。</td><td colspan=""1"">学籍（原毕业）学校所在区</td></tr>
</table>
说明：1.《上海市居住证》《上海市海外人才居住证》须至2024年5 月7日仍有效。
2. 本市户籍信息及《上海市居住证》等部分证明材料通过市大数据中心在线核验。
",中考中招
上海市教育委员会关于做好2024年本市高中阶段学校招生报名工作的通知 沪教委基〔2023〕41号.md,2024中招,"附件2  
2024年上海市高中阶段学校招生报名日程表
|日    期|内    容|对  象|
| :-: | :-: | :-: |
|**一、上海市高中阶段学校普通学校招生报名日程**|||
|<p>2023年12月18日</p><p>至2024年2月20日</p><p>（寒假除外）</p>|本市应届初三学生报名材料核对|<p>区招考机构、</p><p>初中学校</p>|
|2024年2月22日至3月2日|全市在校应届初三学生网上报名、信息确认|初中学校、学生|
|2024年2月23日至28日|往届生、外省市初中毕业生网上报名|区招考机构、学生|
|2024年3月1日至2日|往届生和外省市初中毕业生报名材料核对、信息确认|区招考机构、学生|
|2024年5月6日至7日|符合报名条件的学生补报名|区招考机构、学生|
|**二、上海市高中阶段特殊教育学校招生报名日程**|||
|<p>2023年12月18日</p><p>至2024年2月20日</p><p>（寒假除外）</p>|本市应届初三残疾学生报名材料核对|区招考机构|
|2024年3月11日前|各区向市特殊教育评估中心提交申请参加本市高中阶段特殊教育招生的随班就读应届初三残疾学生名单和材料|区招考机构|
|2024年4月9日前|向市教育考试院反馈申请参加本市高中阶段特殊教育招生的随班就读应届初三残疾学生评估意见|市特殊教育评估中心|
|2024年4月10日前|向各区反馈申请参加本市高中阶段特殊教育招生的随班就读应届初三残疾学生评估意见|市教育考试院|
|2024年4月19日至20日|特殊教育学校应届初三残疾学生、通过评估的随班就读应届初三残疾学生网上报名并现场确认|初中学校、学生|
|抄送：上海市教育教育院，上海市教师教育学院，各区招办。|
| - |
|上海市教育委员会办公室|2023年12月4日印发||

",中考中招
上海市教育委员会关于做好2024年本市高中阶段学校招收艺术骨干学生工作的通知 沪教委体〔2024〕8号.md,2024中招,"﻿
上海市教育委员会文件
沪教委体〔2024〕8号                   
上海市教育委员会关于做好2024年本市高中阶段
学校招收艺术骨干学生工作的通知 
各区教育局，各委属高中学校：
为全面贯彻国家和本市关于新时代学校美育工作有关精神，进一步深化本市学校美育工作改革发展，按照《上海市人民政府办公厅关于加强本市中小学体育艺术工作的指导意见》（沪府办规〔2019〕10号）、《上海市教育委员会关于印发<上海市高中阶段学校招生录取改革实施办法>的通知》（沪教委规〔2021〕2号）等要求，根据2024年本市高中阶段学校招生考试总体安排，现就做好2024年本市高中阶段学校招收艺术骨干学生工作有关要求通知如下：
",中考中招
上海市教育委员会关于做好2024年本市高中阶段学校招收艺术骨干学生工作的通知 沪教委体〔2024〕8号.md,2024中招,"一、工作目标
围绕全面育人目标，进一步健全本市艺术骨干学生培养体系，完善高中阶段学校招生录取运行机制和管理体制，统一程序，统一标准，严格规范操作，强化过程管理，确保公开、公平、公正，保证中招工作平稳有序进行，促进中小学校艺术团高水平建设发展，更好地发挥示范引领和辐射带动效应，培养德智体美劳全面发展的社会主义建设者和接班人。
",中考中招
上海市教育委员会关于做好2024年本市高中阶段学校招收艺术骨干学生工作的通知 沪教委体〔2024〕8号.md,2024中招,"二、组织管理
本市高中阶段学校招收艺术骨干学生招生计划的编制、招生办法的制定和实施，按市、区两级教育行政部门的管理职责和工作程序进行。
",中考中招
上海市教育委员会关于做好2024年本市高中阶段学校招收艺术骨干学生工作的通知 沪教委体〔2024〕8号.md,2024中招,"二、组织管理
（一）市教育行政部门负责编制市级艺术骨干学生招生计划和招生录取办法，并对各区艺术骨干学生招生录取工作进行指导和协调。
",中考中招
上海市教育委员会关于做好2024年本市高中阶段学校招收艺术骨干学生工作的通知 沪教委体〔2024〕8号.md,2024中招,"二、组织管理
（二）各区教育行政部门负责结合本区学校艺术发展与教育资源配置的实际情况，制定本区艺术骨干学生的招生计划和招生录取办法。
",中考中招
上海市教育委员会关于做好2024年本市高中阶段学校招收艺术骨干学生工作的通知 沪教委体〔2024〕8号.md,2024中招,"二、组织管理
（三）市、区招考机构根据职责范围公示相应高中阶段学校招收艺术骨干学生的招生计划、招生录取办法及相关学生名单等。
",中考中招
上海市教育委员会关于做好2024年本市高中阶段学校招收艺术骨干学生工作的通知 沪教委体〔2024〕8号.md,2024中招,"二、组织管理
（四）市级学生艺术团要加强自身建设和规范管理，落实相关工作责任，严格执行推荐办法、艺术团团籍档案管理、优秀团员标准和考核推优程序等制度。
",中考中招
上海市教育委员会关于做好2024年本市高中阶段学校招收艺术骨干学生工作的通知 沪教委体〔2024〕8号.md,2024中招,"三、招生范围及规模
艺术骨干学生的招收培养纳入本市学校艺术“一条龙”布局建设工作体系。按照《上海市教育委员会关于公布本市学校艺术“一条龙”人才培养体系首批布局项目及做好相关建设发展等工作的通知》（沪教委体〔2021〕34号）公布的学校和项目，可在全市范围内招收市级艺术骨干学生，招生计划纳入全市自主招生计划并由市教委进行总体统筹评估后下达。
区级艺术“一条龙”高中阶段学校在本区招收区级艺术骨干学生，具体招生范围、规模及办法等由各区教育行政部门制定并公布。
",中考中招
上海市教育委员会关于做好2024年本市高中阶段学校招收艺术骨干学生工作的通知 沪教委体〔2024〕8号.md,2024中招,"四、报名条件
具有2024年本市中招报名资格并完成报名的应届初中毕业生，且当年度被评为上海市学生艺术团各分团优秀团员（可推荐优秀团员的市级学生艺术团名单见附件1），团籍档案完整、连续团龄2年及以上的学生可填写《2024年上海市高中阶段学校市级艺术骨干学生资格确认报名表》（以下简称《报名表》，见附件2），经所在艺术团、学籍学校、学籍所在区教育行政部门及上海市科技艺术教育中心认定后，方能取得艺术骨干学生报名资格。
",中考中招
上海市教育委员会关于做好2024年本市高中阶段学校招收艺术骨干学生工作的通知 沪教委体〔2024〕8号.md,2024中招,"五、录取办法
市级艺术骨干学生自主招生参照市实验性示范性高中、市特色普通高中自主招生录取方式进行，统一实行网上填报志愿、网上签约预录取和录取，且通过艺术骨干学生相关资格确认的学生方可填报志愿。
",中考中招
上海市教育委员会关于做好2024年本市高中阶段学校招收艺术骨干学生工作的通知 沪教委体〔2024〕8号.md,2024中招,"五、录取办法
（一）资格确认
1\.招生学校应按照本校自主招生工作整体要求，根据艺术团高水平建设发展需要，围绕对艺术基本素养、专业技能和艺术实践经历方面的评价，制定本校艺术骨干学生资格确认工作方案，于2024年3月10日前报区教育行政部门。招生学校的资格确认工作方案经同意后，应于资格确认项目开始前两周，通过本单位网站等渠道，将现场资格确认的项目和要求（明确小项、声部、自主招生录取学业考试总成绩要求等）、具体时间地点、程序及标准等信息向社会公布。
2\.招生学校应严格按照本校艺术骨干学生资格确认工作方案，于2024年4月下旬对符合报名条件的学生组织现场专业技能评价，原则上按招生规模的2倍择优通过（报名学生人数不足招生规模2倍的，如数通过）。资格确认现场专业技能评价须实施全程录像，专业技能与招生项目明显不符的一律不予通过。资格确认专家组应包含一定比例的校外专家，市教委将组建市级专家库，并随机抽取符合要求的专家全程参加并进行检查和指导。
3\.招生学校应将通过资格确认的学生名单公示5个工作日后，于4月底前将《2024年上海市高中阶段学校市级艺术骨干学生资格确认汇总表》（见附件3）、相关学生《报名表》等报区教育行政部门。区教育行政部门审核确认汇总相关材料，报至上海市科技艺术教育中心。
",中考中招
上海市教育委员会关于做好2024年本市高中阶段学校招收艺术骨干学生工作的通知 沪教委体〔2024〕8号.md,2024中招,"五、录取办法
（二）志愿填报
通过艺术骨干学生相关资格确认的学生，可于初中学业水平考试（以下简称“学业考试”）结束后，按获得资格确认的学校及项目，填报不超过2个艺术类自主招生志愿。同时具备体育类资格的学生可兼报体育类志愿，体育类和艺术类志愿总计不超过2个。
",中考中招
上海市教育委员会关于做好2024年本市高中阶段学校招收艺术骨干学生工作的通知 沪教委体〔2024〕8号.md,2024中招,"五、录取办法
（三）录取工作
市级艺术骨干学生自主招生录取工作在学业考试后按自主招生统一要求进行。招生学校要制定本校艺术骨干学生自主招生工作方案，报相关教育行政部门同意后，由市教育考试院和招生学校公布。招生学校应严格按照程序和时间组织综合测试，经学校自主招生领导小组集体讨论后，按招生计划进行择优足额签约预录取。
艺术骨干学生学业考试总成绩（含政策性照顾加分，下同）须达到招生学校自主设定的当年度最低投档控制分数线（不低于当年度本市自主招生最低投档控制分数线）方可被正式录取。已签约预录取的艺术骨干学生不得要求更改或放弃预录取。
",中考中招
上海市教育委员会关于做好2024年本市高中阶段学校招收艺术骨干学生工作的通知 沪教委体〔2024〕8号.md,2024中招,"五、录取办法
（四）其他情况
区级艺术骨干学生招生工作由各区教育行政部门负责，具体可参照市级艺术骨干学生的招生录取办法在统一招生批次进行，招生学校仅限本区内区实验性示范性高中与公民办普通高中。各区应合理确定招生规模，科学开展资格确认，严格执行信息公示制度，不得跨区招生。区实验性示范性高中与普通高中录取的区级艺术骨干学生学业考试总成绩须达到当年度本市公办普通高中最低投档控制分数线。
以上各项工作若有调整，将另行通知。
",中考中招
上海市教育委员会关于做好2024年本市高中阶段学校招收艺术骨干学生工作的通知 沪教委体〔2024〕8号.md,2024中招,"六、监督和处理
（一）加强监督检查
市、区两级教育行政部门和招考机构负责指导、监督相关学校开展招收艺术骨干学生的相关工作。建立市级专家库，开展艺术骨干学生招生工作的专项评估和监督检查。强化内部监督和社会监督，严格执行招生利益相关方回避制度，确保艺术骨干学生招生相关工作顺利进行。
",中考中招
上海市教育委员会关于做好2024年本市高中阶段学校招收艺术骨干学生工作的通知 沪教委体〔2024〕8号.md,2024中招,"六、监督和处理
（二）落实信息公开
加大信息公开力度，全面、及时、准确公布招收艺术骨干学生工作相关信息，主动接受社会监督。
",中考中招
上海市教育委员会关于做好2024年本市高中阶段学校招收艺术骨干学生工作的通知 沪教委体〔2024〕8号.md,2024中招,"六、监督和处理
（三）严查违规违纪
建立违规招生行为负面清单制度，对在招生中违规违纪的相关人员给予相应处理_x001f_，情节严重的依规依纪移送纪检监察部门进行严肃处理。
",中考中招
上海市教育委员会关于做好2024年本市高中阶段学校招收艺术骨干学生工作的通知 沪教委体〔2024〕8号.md,2024中招,"六、监督和处理
（四）强化安全保障
各区要严格落实国家和本市有关要求，指导学校制定相关工作方案，规范做好各项组织工作，确保各项工作平稳有序。
",中考中招
上海市教育委员会关于做好2024年本市高中阶段学校招收艺术骨干学生工作的通知 沪教委体〔2024〕8号.md,2024中招,"附件：1.2024年上海市可推荐优秀团员的市级学生艺术团   名单
`      `2.2024年上海市高中阶段学校市级艺术骨干学生资 格确认报名表
`      `3.2024年上海市高中阶段学校市级艺术骨干学生资格确认汇总表
上 海 市 教 育 委 员 会
`                           `2024年3月5日
—  1  — 
",中考中招
上海市教育委员会关于做好2024年本市高中阶段学校招收艺术骨干学生工作的通知 沪教委体〔2024〕8号.md,2024中招,"附件1
2024年上海市可推荐优秀团员的市级学生艺术团名单
<table><tr><th><b>序号</b></th><th><b>项 目</b></th><th><b>艺术团名称</b></th></tr>
<tr><td>1</td><td rowspan=""29"">中西器乐<br>(含管乐、弦乐)</td><td>上海市格致中学弦乐团</td></tr>
<tr><td>2</td><td>上海市大同中学管弦乐团</td></tr>
<tr><td>3</td><td>上海市南洋模范中学交响乐团</td></tr>
<tr><td>4</td><td>上海市第三女子中学吹奏乐团</td></tr>
<tr><td>5</td><td>华东师范大学附属天山学校管弦乐团</td></tr>
<tr><td>6</td><td>上海音乐学院附属安师实验中学管弦乐团</td></tr>
<tr><td>7</td><td>复旦大学附属中学管乐团</td></tr>
<tr><td>8</td><td>上海市控江中学行进管乐团</td></tr>
<tr><td>9</td><td>上海师范大学附属罗店中学管乐团</td></tr>
<tr><td>10</td><td>上海市高境第一中学管乐团</td></tr>
<tr><td>11</td><td>上海交通大学附属中学嘉定分校管弦乐团</td></tr>
<tr><td>12</td><td>上海师范大学附属中学管乐团</td></tr>
<tr><td>13</td><td>上海市建平中学管弦乐团</td></tr>
<tr><td>14</td><td>上海市进才实验中学管弦乐团</td></tr>
<tr><td>15</td><td>上海市黄浦区青少年艺术活动中心管弦乐团</td></tr>
<tr><td>16</td><td>上海市杨浦区少年宫管弦乐团</td></tr>
<tr><td>17</td><td>上海市浦东新区青少年活动中心管弦乐团</td></tr>
<tr><td>18</td><td>上海市青少年活动中心弦乐团</td></tr>
<tr><td>19</td><td>上海市徐汇中学民乐团</td></tr>
<tr><td>20</td><td>上海市延安中学民乐团</td></tr>
<tr><td>21</td><td>上海市杨浦高级中学民乐团</td></tr>
<tr><td>22</td><td>上海市黄浦区青少年艺术活动中心民乐团</td></tr>
<tr><td>23</td><td>上海市黄浦区青少年科技活动中心民乐团</td></tr>
<tr><td>24</td><td>上海市徐汇区青少年活动中心民乐团</td></tr>
<tr><td>25</td><td>上海市长宁区少年宫民乐团</td></tr>
<tr><td>26</td><td>上海市虹口区青少年活动中心民乐团</td></tr>
<tr><td>27</td><td>上海市杨浦区少年宫民乐团</td></tr>
<tr><td>28</td><td>上海市闵行区青少年活动中心民乐团</td></tr>
<tr><td>29</td><td>上海市浦东新区青少年活动中心民乐团</td></tr>
<tr><td>30</td><td rowspan=""14"">合唱</td><td>上海市市北中学合唱团</td></tr>
<tr><td>31</td><td>复旦大学附属中学合唱团</td></tr>
<tr><td>32</td><td>同济大学第一附属中学合唱团</td></tr>
<tr><td>33</td><td>上海市七宝中学合唱团</td></tr>
<tr><td>34</td><td>上海市吴淞中学合唱团</td></tr>
<tr><td>35</td><td>上海市洋泾中学男声合唱团</td></tr>
<tr><td>36</td><td>上海市松江二中合唱团</td></tr>
<tr><td>37</td><td>上海市崇明中学合唱团</td></tr>
<tr><td>38</td><td>上海市黄浦区青少年艺术活动中心春天少年合唱团</td></tr>
<tr><td>39</td><td>上海市徐汇区青少年活动中心合唱团</td></tr>
<tr><td>40</td><td>上海市静安区青少年活动中心合唱团</td></tr>
<tr><td>41</td><td>上海市普陀区青少年教育活动中心合唱团</td></tr>
<tr><td>42</td><td>上海市杨浦区少年宫合唱团</td></tr>
<tr><td>43</td><td>上海市浦东新区青少年活动中心合唱团</td></tr>
<tr><td>44</td><td rowspan=""8""></td><td>上海财经大学附属北郊高级中学舞蹈团</td></tr>
<tr><td>45</td><td>上海市建青实验学校舞蹈团</td></tr>
<tr><td>46</td><td>上海市黄浦区青少年艺术活动中心舞蹈团</td></tr>
<tr><td>47</td><td>上海市普陀区青少年教育活动中心舞蹈团</td></tr>
<tr><td>48</td><td>上海市虹口区青少年活动中心仲盛舞蹈团</td></tr>
<tr><td>49</td><td>上海市闵行区青少年活动中心舞蹈团</td></tr>
<tr><td>50</td><td>上海市宝山区少年宫舞蹈团</td></tr>
<tr><td>51</td><td>上海市浦东新区青少年活动中心舞蹈团</td></tr>
<tr><td>52</td><td rowspan=""9"">戏剧(含戏曲、<br>影视)</td><td>上海市第二中学影视剧团</td></tr>
<tr><td>53</td><td>上海市姚连生中学评弹团</td></tr>
<tr><td>54</td><td>上海戏剧学院附属高级中学戏剧团</td></tr>
<tr><td>55</td><td>上海交通大学附属中学戏剧团</td></tr>
<tr><td>56</td><td>华东师范大学第二附属中学(紫竹校区)戏剧团</td></tr>
<tr><td>57</td><td>上海市徐汇区青少年活动中心少儿京剧团</td></tr>
<tr><td>58</td><td>上海市普陀区青少年教育活动中心戏曲团(京剧、越剧、沪剧)</td></tr>
<tr><td>59</td><td>上海市虹口区青少年活动中心戏剧团</td></tr>
<tr><td>60</td><td>上海市浦东新区青少年活动中心戏曲团(京剧、昆剧、沪剧、越剧)</td></tr>
<tr><td>61</td><td rowspan=""3"">美术(含工艺美 术表演、书画)</td><td>上海市黄浦区青少年艺术活动中心工艺表演团</td></tr>
<tr><td>62</td><td>上海市长宁区少年宫书画工艺表演团</td></tr>
<tr><td>63</td><td>上海市逸夫职业技术学校学生书画团</td></tr>
<tr><td>64</td><td valign=""top"">综合<br>(舞蹈、合唱、<br>戏剧、民乐)</td><td>中国福利会少年宫小伙伴艺术团</td></tr>
</table>
—  11  — 
",中考中招
上海市教育委员会关于做好2024年本市高中阶段学校招收艺术骨干学生工作的通知 沪教委体〔2024〕8号.md,2024中招,"附件2
2024年上海市高中阶段学校市级艺术骨干学生资格确认报名表
学生学籍所在区：                 学籍学校：                       学生报名号：              
|姓名||性别||出生日期|年   月   日|艺术项目|||||||||
| :-: | :-: | :-: | :-: | :-: | -: | :-: | :-: | :- | :- | :- | :- | :- | :- | :- |
|家庭地址（邮编）||证件号码|||||||||||||
|报名学校||电话||上海学籍号|||||||||||
|参加上海市学生艺术团分团名称|是否符合团龄要求|当年是否被评为优秀团员|||||||||||||
||||||||||||||||
|<p>分团</p><p>意见</p>|<p></p><p></p><p></p><p></p><p>负责人签字（盖章）：</p><p>`       `年  月  日</p>|<p>学籍学校</p><p>意见</p>|<p></p><p></p><p></p><p></p><p>签字（盖章）：</p><p>`     `年  月  日</p>|<p>学籍所在区</p><p>教育行政部门意见</p>|<p></p><p></p><p></p><p></p><p>签字（盖章）：</p><p>`     `年  月  日</p>|市级艺术团团部意见|<p></p><p></p><p></p><p></p><p>签字（盖章）：</p><p>`     `年  月  日</p>||||||||
|<p>招生学校</p><p>意见</p>|<p>已公示5个工作日，同意该生通过资格确认。</p><p></p><p></p><p>签字（盖章）：</p><p>`      `年  月  日</p>|<p>招生区</p><p>教育行政部门意见</p>|<p></p><p></p><p></p><p></p><p></p><p>签字（盖章）：</p><p>`    `年  月  日</p>|<p></p><p>上海市科技艺术教育</p><p>中心意见</p><p></p>|<p></p><p></p><p></p><p></p><p></p><p>签字（盖章）：</p><p>`                                `年  月  日</p>||||||||||
注：本表一式四份，由市、区教育行政部门、区招考机构、招生学校各留一份。若报考2所学校，须填写2张报名表。
",中考中招
上海市教育委员会关于做好2024年本市高中阶段学校招收艺术骨干学生工作的通知 沪教委体〔2024〕8号.md,2024中招,"附件3
2024年上海市高中阶段学校市级艺术骨干学生资格确认汇总表
区教育行政部门/学校（盖章）：                联系人：                联系电话：               
|序号|生源区|学籍学校/代码|招生学校/代码|报名号|证件号码|姓名|性别|项目|小项|备注|
| :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: |
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
||||||||||||
注：区级报送的本表一式三份，市教育行政部门、市招考机构、区教育行政部门各留一份。学校报送的本表一式三份，区教育行政部门、区招考机构与招生学校各留一份。学校填写的本表须加盖学校公章，区级填写的本表须加盖区教育行政部门公章。
|抄送：市教育考试院、市科技艺术教育中心。|||
| - | :- | :- |
|上海市教育委员会办公室|2024年 3月5日印发||

",中考中招
上海市教育委员会关于做好2024年上海市全日制普通中等职业学校自主招收本市初中应届毕业生中来沪人员随迁子女工作的通知 沪教委职〔2024〕8号.md,2024中招,"﻿
上海市教育委员会文件
沪教委职〔2024〕8号                     
上海市教育委员会关于做好2024年上海市全日制
普通中等职业学校自主招收本市初中应届毕业生中
来沪人员随迁子女工作的通知 
各区教育局，各有关部、委、局、控股（集团）公司：
为进一步做好本市全日制普通中等职业学校自主招收来沪人员随迁子女工作，按照《上海市人民政府办公厅转发市教委等四部门关于来沪人员随迁子女就读本市各级各类学校实施意见的通知》（沪府办规〔2018〕5号）和《上海市教育委员会关于2024年本市高中阶段学校招生工作的若干意见》（沪教委基〔2024〕4号）要求，现将《2024年上海市全日制普通中等职业学校自主招收本市初中应届毕业生中来沪人员随迁子女实施意见》（见附件）印发给你们，请按照执行。
各区教育局要组织有关职能部门和学校做好对来沪人员随迁子女招生的政策咨询和指导等服务工作。在工作过程中有任何意见与建议，请及时与市教委联系。
",中考中招
